ansible,1,1,lib/ansible/galaxy/collection.py;
ansible,10,1,lib/ansible/modules/system/pamd.py;
ansible,11,1,lib/ansible/modules/network/ios/ios_banner.py;
ansible,12,1,lib/ansible/plugins/lookup/env.py;
ansible,13,2,lib/ansible/cli/galaxy.py;lib/ansible/galaxy/collection.py;
ansible,14,1,lib/ansible/galaxy/api.py;
ansible,15,1,lib/ansible/modules/network/eos/eos_eapi.py;
ansible,16,2,lib/ansible/module_utils/facts/hardware/linux.py;test/units/module_utils/facts/hardware/linux_data.py;
ansible,17,1,lib/ansible/module_utils/facts/hardware/linux.py;
ansible,18,1,lib/ansible/cli/galaxy.py;
ansible,2,1,lib/ansible/utils/version.py;
ansible,3,1,lib/ansible/module_utils/facts/system/distribution.py;
ansible,4,1,lib/ansible/playbook/collectionsearch.py;
ansible,5,2,lib/ansible/module_utils/common/validation.py;test/units/module_utils/common/validation/test_check_mutually_exclusive.py;
ansible,6,1,lib/ansible/galaxy/collection.py;
ansible,7,1,lib/ansible/module_utils/network/eos/config/vlans/vlans.py;
ansible,8,1,lib/ansible/plugins/shell/powershell.py;
ansible,9,1,lib/ansible/modules/packaging/os/redhat_subscription.py;
black,1,1,black.py;
black,10,1,blib2to3/pgen2/driver.py;
black,11,1,black.py;
black,12,1,black.py;
black,13,1,blib2to3/pgen2/tokenize.py;
black,14,2,black.py;tests/data/python2_unicode_literals.py;
black,15,1,black.py;
black,16,1,black.py;
black,17,1,black.py;
black,18,1,black.py;
black,19,1,black.py;
black,2,1,black.py;
black,20,1,black.py;
black,21,1,black.py;
black,22,1,black.py;
black,23,3,black.py;blib2to3/pygram.py;tests/function.py;
black,3,1,black.py;
black,4,1,black.py;
black,5,1,black.py;
black,6,4,black.py;blib2to3/pgen2/driver.py;blib2to3/pgen2/tokenize.py;tests/data/python37.py;
black,7,1,black.py;
black,8,1,black.py;
black,9,1,black.py;
cookiecutter,1,1,cookiecutter/generate.py;
cookiecutter,2,1,cookiecutter/hooks.py;
cookiecutter,3,1,cookiecutter/prompt.py;
cookiecutter,4,3,cookiecutter/exceptions.py;cookiecutter/generate.py;cookiecutter/hooks.py;
fastapi,10,1,fastapi/routing.py;
fastapi,11,1,fastapi/dependencies/utils.py;
fastapi,12,1,fastapi/security/http.py;
fastapi,13,1,fastapi/routing.py;
fastapi,14,1,fastapi/openapi/models.py;
fastapi,15,1,fastapi/routing.py;
fastapi,16,1,fastapi/encoders.py;
fastapi,2,1,fastapi/routing.py;
fastapi,3,1,fastapi/routing.py;
fastapi,4,1,fastapi/openapi/utils.py;
fastapi,5,1,fastapi/utils.py;
fastapi,6,1,fastapi/dependencies/utils.py;
fastapi,7,1,fastapi/exception_handlers.py;
fastapi,8,1,fastapi/routing.py;
fastapi,9,1,fastapi/dependencies/utils.py;
httpie,1,1,httpie/downloads.py;
httpie,2,2,httpie/client.py;httpie/core.py;
httpie,3,1,httpie/sessions.py;
httpie,4,1,httpie/models.py;
httpie,5,1,httpie/cli.py;
keras,1,4,keras/backend/tensorflow_backend.py;keras/backend/theano_backend.py;keras/initializers.py;tests/keras/backend/backend_test.py;
keras,10,1,keras/engine/training_utils.py;
keras,11,5,keras/engine/training_generator.py;keras/engine/training_utils.py;keras/utils/data_utils.py;tests/keras/utils/data_utils_test.py;tests/test_multiprocessing.py;
keras,12,0
0,
keras,13,1,keras/engine/training_generator.py;
keras,14,1,keras/metrics.py;
keras,15,1,keras/callbacks.py;
keras,16,1,keras/engine/sequential.py;
keras,17,1,keras/metrics.py;
keras,18,1,keras/backend/tensorflow_backend.py;
